INFO(chunker_countsort_laszip.cpp:176): counting 000194.las, first point: 0, num points: 124'942
INFO(chunker_countsort_laszip.cpp:176): counting 000210.las, first point: 0, num points: 125'929
INFO(chunker_countsort_laszip.cpp:176): counting 000197.las, first point: 0, num points: 125'198
INFO(chunker_countsort_laszip.cpp:176): counting 000206.las, first point: 0, num points: 126'122
INFO(chunker_countsort_laszip.cpp:176): counting 000207.las, first point: 0, num points: 126'065
INFO(chunker_countsort_laszip.cpp:176): counting 000213.las, first point: 0, num points: 126'194
INFO(chunker_countsort_laszip.cpp:176): counting 000208.las, first point: 0, num points: 126'114
INFO(chunker_countsort_laszip.cpp:176): counting 000214.las, first point: 0, num points: 126'257
INFO(chunker_countsort_laszip.cpp:176): counting 000216.las, first point: 0, num points: 126'283
INFO(chunker_countsort_laszip.cpp:176): counting 000211.las, first point: 0, num points: 126'002
INFO(chunker_countsort_laszip.cpp:176): counting 000217.las, first point: 0, num points: 126'219
INFO(chunker_countsort_laszip.cpp:176): counting 000212.las, first point: 0, num points: 126'075
INFO(chunker_countsort_laszip.cpp:176): counting 000219.las, first point: 0, num points: 126'074
INFO(chunker_countsort_laszip.cpp:176): counting 000220.las, first point: 0, num points: 126'074
INFO(chunker_countsort_laszip.cpp:176): counting 000209.las, first point: 0, num points: 125'977
INFO(chunker_countsort_laszip.cpp:176): counting 000215.las, first point: 0, num points: 126'284
INFO(chunker_countsort_laszip.cpp:176): counting 000231.las, first point: 0, num points: 126'367
INFO(chunker_countsort_laszip.cpp:176): counting 000218.las, first point: 0, num points: 126'146
INFO(chunker_countsort_laszip.cpp:176): counting 000222.las, first point: 0, num points: 126'349
INFO(chunker_countsort_laszip.cpp:176): counting 000221.las, first point: 0, num points: 126'218
INFO(chunker_countsort_laszip.cpp:176): counting 000223.las, first point: 0, num points: 126'410
INFO(chunker_countsort_laszip.cpp:176): counting 000225.las, first point: 0, num points: 126'354
INFO(chunker_countsort_laszip.cpp:176): counting 000228.las, first point: 0, num points: 126'201
INFO(chunker_countsort_laszip.cpp:176): counting 000234.las, first point: 0, num points: 126'617
INFO(chunker_countsort_laszip.cpp:176): counting 000232.las, first point: 0, num points: 126'353
INFO(chunker_countsort_laszip.cpp:176): counting 000226.las, first point: 0, num points: 126'347
INFO(chunker_countsort_laszip.cpp:176): counting 000224.las, first point: 0, num points: 126'328
INFO(chunker_countsort_laszip.cpp:176): counting 000233.las, first point: 0, num points: 126'451
INFO(chunker_countsort_laszip.cpp:176): counting 000229.las, first point: 0, num points: 126'197
INFO(chunker_countsort_laszip.cpp:176): counting 000237.las, first point: 0, num points: 126'684
INFO(chunker_countsort_laszip.cpp:176): counting 000235.las, first point: 0, num points: 126'622
INFO(chunker_countsort_laszip.cpp:176): counting 000230.las, first point: 0, num points: 126'337
INFO(chunker_countsort_laszip.cpp:176): counting 000240.las, first point: 0, num points: 126'684
INFO(chunker_countsort_laszip.cpp:176): counting 000236.las, first point: 0, num points: 126'651
INFO(chunker_countsort_laszip.cpp:176): counting 000243.las, first point: 0, num points: 126'897
INFO(chunker_countsort_laszip.cpp:176): counting 000238.las, first point: 0, num points: 126'738
INFO(chunker_countsort_laszip.cpp:176): counting 000227.las, first point: 0, num points: 126'223
INFO(chunker_countsort_laszip.cpp:176): counting 000246.las, first point: 0, num points: 126'927
INFO(chunker_countsort_laszip.cpp:176): counting 000255.las, first point: 0, num points: 127'206
INFO(chunker_countsort_laszip.cpp:176): counting 000252.las, first point: 0, num points: 127'135
INFO(chunker_countsort_laszip.cpp:176): counting 000249.las, first point: 0, num points: 126'947
